text,intent
there is no way in heck that is true,negative_reply
i'll pass,negative_reply
"incorrect, it is certainly a false statement",negative_reply
that is not right,negative_reply
nope that's not it,negative_reply
that is most definitely false,negative_reply
no that is not right,negative_reply
are you sure i don’t think that’s correct,negative_reply
that's false,negative_reply
i am afraid that that is not the case,negative_reply
false,negative_reply
"no, that is my response",negative_reply
"that would be ""no",negative_reply
nada,negative_reply
it seems not,negative_reply
that's not what i want!,negative_reply
not true,negative_reply
that is overwhelmingly false,negative_reply
that's not right,negative_reply
the answer is no,negative_reply
no thank you,negative_reply
"please, no",negative_reply
"no, that's not it",negative_reply
no that isn't the case,negative_reply
the information is wrong,negative_reply
definitely not,negative_reply
negatory,negative_reply
absolutely not,negative_reply
that's a hard no from me,negative_reply
"that is not true, it's false",negative_reply
that's inaccurate,negative_reply
the answer is false,negative_reply
nay,negative_reply
"no, that is not right at all",negative_reply
that's incorrect!,negative_reply
that is not the case,negative_reply
"oh hell no, that'd be terrible!",negative_reply
that would be a no,negative_reply
it is no,negative_reply
"no, that is invalid",negative_reply
negative,negative_reply
i think it is false,negative_reply
that is the wrong answer,negative_reply
i say no to that question,negative_reply
no that is wrong,negative_reply
no thanks,negative_reply
that's completely false,negative_reply
i must say no,negative_reply
i would prefer not,negative_reply
hell nah,negative_reply
"no, that is inaccurate",negative_reply
no that isn't it,negative_reply
"no, that is incorrect",negative_reply
that is so false,negative_reply
"no, that is not right",negative_reply
ill pass,negative_reply
i don't think so,negative_reply
"no, that's wrong",negative_reply
invalid,negative_reply
negative for sure,negative_reply
that is not correct,negative_reply
no!,negative_reply
nope not it,negative_reply
that can't be true,negative_reply
no don't do that!,negative_reply
"no, that's incorrect",negative_reply
that is not true,negative_reply
i say negative,negative_reply
that is erroneous,negative_reply
i would have to say the answer to that is no,negative_reply
"no, you are wrong",negative_reply
that’s not correct,negative_reply
you are wrong,negative_reply
that is actually false,negative_reply
that turns out to be false,negative_reply
what you just said is false,negative_reply
that's a negative,negative_reply
"nope, that's false",negative_reply
it's a no,negative_reply
"no, that information is wrong",negative_reply
i would say that the statement is definitely false,negative_reply
"no, definitely not",negative_reply
that has to be false,negative_reply
i disagree that is false,negative_reply
"no, that's not right",negative_reply
no is the answer,negative_reply
it is false,negative_reply
that's totally wrong!,negative_reply
"i don't believe that is possible, it is false",negative_reply
"no, that is fake",negative_reply
what you just said is wrong,negative_reply
the answer is definitely no,negative_reply
that's definitely false,negative_reply
false for sure,negative_reply
that is a completely false statement,negative_reply
no that isn't right,negative_reply
"no, that is a falsehood",negative_reply
that's not right it's false,negative_reply
that’s incorrect,negative_reply
no good,negative_reply
"i do not think that is true, so i would say it is a false statement",negative_reply
not that one,negative_reply
"no, that is wrong",negative_reply
no way,negative_reply
i do not believe that that is correct,negative_reply
"i don't like that, no",negative_reply
i gotta say no,negative_reply
"no, that is not correct",negative_reply
naw,negative_reply
that is false,negative_reply
not happening,negative_reply
that is incorrect,negative_reply
the statement is false,negative_reply
that's not correct,negative_reply
no way!,negative_reply
"no, don't do that",negative_reply
thats a negative,negative_reply
not at all,negative_reply
i believe that to be false,negative_reply
not really,negative_reply
i'd say no,negative_reply
not right now,negative_reply
that isn't right,negative_reply
i think not,negative_reply
"that's not right, so no",negative_reply
it is very much false,negative_reply
"no, that can't be right",negative_reply
i meant no,negative_reply
"sorry, that is not true",negative_reply
that’s actually wrong,negative_reply
certainly not,negative_reply
that's wrong,negative_reply
that's incorrect,negative_reply
that's not true,negative_reply
i think that's false,negative_reply
that would be false,negative_reply
not that,negative_reply
that is wrong,negative_reply
you got that wrong,negative_reply
that is untrue,negative_reply
i do not think that is proper,negative_reply
that isn't the right answer,negative_reply
no that's wrong,negative_reply
that isn't correct,negative_reply
that is not factual,negative_reply
i am saying no,negative_reply
that'd be a no,negative_reply
that's a negatory,negative_reply
no that isn't correct,negative_reply
nope,negative_reply
